q1,15544.155
q2,5541.094
q3,1896.274
q4,61271.259
q5,7209.911
q6,5068.143
q7,5828.559
q8,2454.402
q9,113703.058
q10,6044.033
q11,33596.932
q12,1615.956
q13,5270.771
q14a,66763.694
q14b,53058.191
q15,872.323
q16,16576.925
q17,9234.485
q18,2992.085
q19,1477.411
q20,1509.963
q21,893.748
q22,10032.663
q23a,67753.136
q23b             ,67023.509
q24a,125785.965
q24b,153299.412
q25,7881.444
q26,1834.376
q27,5746.187
q28,105040.77
q29,8353.532
q30,4559.795
q31,6725.569
q32,963.721
q33,2672.842
q34,2428.605
q35 ,31387.155
q36,29167.646
q37,22780.879
q38,54862.042
q39a,5887.821
q39b,3410.62
q40,12678.682
q41,1897.943
q42,17478.554
q43,19147.835
q44,33590.661
q45,23559.582
q46,28314.79
q47,63552.753
q48,7047.38
q49,43339.677
q50,30520.688
q51,22537.953
q52,872.957
q53,4090.679
q54,4574.957
q55,775.238
q56,2260.186
q57,16480.227
q58,15771.691
q59,18106.162
q60,2240.28
q61,1144.558
q62,2343.625
q63,3664.995
q64,78571.451
q65,12136.598
q66,3869.532
q67,47017.159
q68,2639.052
q69,8901.523
q70,6802.672
q71,1688.765
q72,40692.942
q73,1477.527
q74,23168.972
q75,71741.698
q76,18722.048
q77,67489.281
q78,46277.551
q79,3614.81
q80,49972.608
q81,4645.08
q82,23766.698
q83,12572.311
q84,20538.445
q85,59277.829
q86,1803.091
q87,31248.127
q88,69843.945
q89,5217.527
q90,2741.833
q91,1522.744
q92,1623.674
q93,112145.842
q94,30904.42
q95,49739.451
q96,11270.307
q97,10461.656
q98,3669.77
q99,3264.774
