query,baseline_ms,min_ms,max_ms,faster,speedup,best_row,worst_row,file,regret_spark,regret_pct
q37,22780.879,3696.185,11626.51,True,6.163349237118814,4,2,All\q37.csv,6.163349237118814,516.3349237118814
q36,29167.646,4207.833,8222.616,True,6.931749905473911,5,1,All\q36.csv,6.931749905473911,593.1749905473911
q23a,67753.136,9188.556,14816.826,True,7.373643475645139,3,4,All\q23a.csv,7.373643475645139,637.3643475645139
q43,19147.835,2448.532,5030.522,True,7.820128550494744,6,1,All\q43.csv,7.820128550494744,682.0128550494744
q80,49972.608,3389.4,52904.137,True,14.743791821561338,3,7,All\q80.csv,14.743791821561338,1374.3791821561338
q42,17478.554,859.063,2448.982,True,20.346067750560785,3,1,All\q42.csv,20.346067750560785,1934.6067750560785
q45,23559.582,984.879,2620.37,True,23.92129591553886,2,1,All\q45.csv,23.92129591553886,2292.129591553886
q21,893.748,2307.207,3971.726,False,0.3873722643872007,3,5,All\q21.csv,0.3873722643872007,-61.262773561279936
q15,872.323,1932.131,4513.668,False,0.45148232702648006,4,2,All\q15.csv,0.45148232702648006,-54.851767297352
q60,2240.28,3286.647,5118.615,False,0.6816308535720448,5,1,All\q60.csv,0.6816308535720448,-31.83691464279552
q12,1615.956,2337.035,4177.581,False,0.6914556264668693,4,2,All\q12.csv,0.6914556264668693,-30.85443735331307
q20,1509.963,2176.436,3712.032,False,0.693777809225725,3,5,All\q20.csv,0.693777809225725,-30.622219077427502
q39b,3410.62,4784.228,7341.446,False,0.7128882653585907,3,1,All\q39b.csv,0.7128882653585907,-28.711173464140927
q34,2428.605,3344.453,6025.747,False,0.7261591058388323,2,1,All\q34.csv,0.7261591058388323,-27.384089416116776
q73,1477.527,1864.614,4364.911,False,0.7924036824779821,2,1,All\q73.csv,0.7924036824779821,-20.75963175220179
q52,872.957,1100.283,2584.306,False,0.7933931543066648,3,1,All\q52.csv,0.7933931543066648,-20.66068456933352
q98,3669.77,4504.789,20589.457,False,0.8146374891254619,1,2,All\q98.csv,0.8146374891254619,-18.536251087453813
q86,1803.091,2113.459,4331.281,False,0.8531469027788096,3,1,All\q86.csv,0.8531469027788096,-14.685309722119044
q56,2260.186,2635.445,4979.853,False,0.8576107640265686,6,1,All\q56.csv,0.8576107640265686,-14.238923597343145
q84,20538.445,22642.136,40808.505,False,0.9070895519751317,4,5,All\q84.csv,0.9070895519751317,-9.291044802486825
q55,775.238,854.55,2574.464,False,0.9071885787841555,3,1,All\q55.csv,0.9071885787841555,-9.281142121584452
q53,4090.679,4457.318,7699.732,False,0.9177444822200256,2,1,All\q53.csv,0.9177444822200256,-8.225551777997442
q32,963.721,1024.288,2919.599,False,0.9408691696085476,3,1,All\q32.csv,0.9408691696085476,-5.913083039145239
q48,7047.38,7425.921,18399.097,False,0.9490243701757667,1,2,All\q48.csv,0.9490243701757667,-5.097562982423332
q63,3664.995,3853.812,8280.223,False,0.9510051346562832,6,1,All\q63.csv,0.9510051346562832,-4.899486534371677
q14b,53058.191,54426.614,83134.968,False,0.9748574658713841,4,6,All\q14b.csv,0.9748574658713841,-2.514253412861589
q28,105040.77,106107.843,118559.239,False,0.9899435049301681,3,1,All\q28.csv,0.9899435049301681,-1.0056495069831861
q81,4645.08,4687.435,8966.015,False,0.9909641413694269,3,1,All\q81.csv,0.9909641413694269,-0.9035858630573101
q27,5746.187,5794.722,9901.826,False,0.991624274641648,3,1,All\q27.csv,0.991624274641648,-0.837572535835196
